input	/usr/lib/libz.so.1.3.1.zlib-ng
kind	shared-library
bpp_mode	auto
role	object	labels	bpp	set	set_new_ns	set_add_total_ns	set_fini_ns	set_free_ns	set_api_total_ns
provided	/usr/lib/libz.so.1.3.1.zlib-ng	89	17	set:kd3mbJvh56uTOsqJBEJlZghvEzxuaZhDSeJ8MtxDeefXLzMAfZpZH2pKupfTLJ70H1vgWH6xBG23jlOcKLtam1zIYWDq0uJEhMCEQmBZ4rdOftGG852gKUTdgDZgoCxphQmspBAAodp33ASvZ57CfZka1oSPD93BTs5S46hZ6rrFVHKZjlzR56R	608	13830	41496	6154	62088
