input	/usr/bin/bash
kind	executable
bpp_mode	auto
role	object	labels	bpp	set	set_new_ns	set_add_total_ns	set_fini_ns	set_free_ns	set_api_total_ns
required	/usr/lib/libc.so.6	219	22	set:phJHRl3EzNHzMh24nFH1HG34VOiwtYmZDp9loYdzk0Me6ZAoGEcRZ0JmtuArQAYloeFVP3zyunTSKwV7QyS3NAsFZLwLG9tZdg69kIXEFrwPmo4utjk5BGFMraU7L16OPHcsCujvjk4cwZFwW8MgXuJNYZiJZm9eKIeZ5raZ6PVbCxFh90gE3l23ICpQPp3unbKn6uGWKben4WybxAecE9eQT5kbFTmc7PjPIrjiZCKyILUAU72EQSJE0kixTzN4FgGp3OnZGQFB2I5sfudDSZxefsQFMd6KTpRKPhgFThKYIUbAHNvIFUjIBRK6QjVGkZubCDU0SL2nMbzPZeGkTZev3Zld0SnnRsyGrDlBgw2XfrJUn4toAVapu9n2Y7wgbZtMQEWxoxpBZ0aDSwKn916ZusjCQZm46pruOAzEmwUHoKiiW8QQeZ9A065jEH5QsxgiWBuGKRq5ZahkJSCxBS42GZ9o15vfSC5aiD9AsjZKSpvcbsskcQsJAXZyMwdc76wto8RAX2LRa9aZi4kmbtIORg0j2EhefPZ7ZCApoCuW21EJxPkrx7fsfMOvyYUQrDfwipSpMk	1391	83928	165230	29784	280333
required	/usr/lib/libreadline.so.8	172	20	set:nfYDPzutupSCtKMMFS4u0wLhoyNvTUoWZhi1IBiOyPVtZE8o2z0t8b1CAeZ8fU9GiF3zSAkcxjND3ajc4GcnoKV4ZzozDt43sQDfvWcaZzj81e007v4HF306o8ekjuTFCZJkH106Fk9fC2CfKZ0D388wmj5ZLhQAXIRVXyPFG9P09l3GuZ2Qt4IUMuc5Sd4G30qlnN51nnt3zCur9eDP7ObTrdP1zCx8sEcI6qgaIkjvldHJS3mfYcc8UFdywsirObW9brZcUsOZzVoVwmcQ8wVDG8YTsZ4xwuRyn2u1y79TqKqky762kj4JZn95LkpcXEtFLvHR8pKlfSAY4Sbu9bvWHXK1gyGA7fuLfgHasnEaCdu11OsjkgF1OaqAwOyGmfw1ABYaJGCGMU9iMVmiM7E8F	778	71787	140315	22130	235010
